# reference acquisiton gt
# x(m), y(m), z(m),  timestamp (ms GMT )
103390923359.143967
6.210989, 2.190274, 2.097053, 103390934181.635620
6.210115, 2.191827, 2.095135, 103390934264.851929
6.210783, 2.195108, 2.096011, 103390934348.068222
6.210531, 2.199102, 2.096886, 103390934431.330154
6.211349, 2.205057, 2.099668, 103390934514.638702
6.212264, 2.205891, 2.093252, 103390934597.992798
6.213554, 2.212035, 2.095221, 103390934681.347198
6.214125, 2.214459, 2.098428, 103390934764.655746
6.213357, 2.213734, 2.094452, 103390934847.963669
6.215868, 2.215351, 2.093029, 103390934931.271973
6.219818, 2.215039, 2.094854, 103390935014.534164
6.219962, 2.209852, 2.098543, 103390935097.796631
6.222811, 2.208055, 2.090333, 103390935181.013123
6.223749, 2.208044, 2.088369, 103390935264.228897
6.224206, 2.206898, 2.092983, 103390935347.445099
6.222246, 2.211053, 2.092048, 103390935430.661194
6.223000, 2.213456, 2.096683, 103390935513.923325
6.226653, 2.217128, 2.087796, 103390935597.185379
6.223986, 2.218948, 2.084913, 103390935680.447632
6.226343, 2.219843, 2.082485, 103390935763.710052
6.237369, 2.223334, 2.082700, 103390935846.925858
6.233809, 2.223168, 2.091900, 103390935930.049484
6.235650, 2.222969, 2.093909, 103390936013.081543
6.242350, 2.226518, 2.092241, 103390936096.067368
6.251962, 2.229251, 2.085423, 103390936179.052765
6.263746, 2.228986, 2.089567, 103390936262.130646
6.264441, 2.221577, 2.087905, 103390936345.254623
6.269790, 2.218136, 2.083237, 103390936428.516556
6.274488, 2.218628, 2.082099, 103390936511.962891
6.278768, 2.219107, 2.083286, 103390936595.501495
6.285465, 2.222359, 2.081513, 103390936679.039886
6.292828, 2.223669, 2.082240, 103390936762.578400
6.296658, 2.222319, 2.081841, 103390936846.162994
6.300295, 2.221689, 2.086028, 103390936929.793686
6.305652, 2.212428, 2.081589, 103390937013.424698
6.315649, 2.202503, 2.070171, 103390937096.962997
6.320779, 2.198209, 2.069820, 103390937180.409485
6.335617, 2.193556, 2.084206, 103390937263.671585
6.344251, 2.205733, 2.077471, 103390937346.841385
6.364965, 2.204937, 2.070891, 103390937429.873184
6.371487, 2.213393, 2.072991, 103390937512.859024
6.380460, 2.219306, 2.069227, 103390937595.982559
6.383416, 2.208096, 2.066982, 103390937679.290924
6.391969, 2.205769, 2.060319, 103390937762.506790
6.406729, 2.206920, 2.066122, 103390937845.446503
6.418420, 2.216166, 2.076435, 103390937928.385956
6.416510, 2.230304, 2.072034, 103390938011.371307
6.415806, 2.243644, 2.069392, 103390938094.495163
6.406711, 2.259759, 2.074200, 103390938177.941788
6.396039, 2.268683, 2.079730, 103390938261.526291
6.385039, 2.277575, 2.071989, 103390938345.203201
6.384806, 2.290556, 2.076146, 103390938428.787491
6.381430, 2.302972, 2.075473, 103390938512.141617
6.385854, 2.313553, 2.071970, 103390938595.403732
6.382746, 2.322068, 2.072037, 103390938678.527512
6.388402, 2.332994, 2.078422, 103390938761.651566
6.398052, 2.345692, 2.080751, 103390938844.683273
6.402585, 2.355273, 2.081825, 103390938927.622513
6.408305, 2.365992, 2.088072, 103390939010.654251
6.411542, 2.371626, 2.087605, 103390939093.732040
6.424287, 2.375876, 2.088901, 103390939176.947739
6.440070, 2.380824, 2.084967, 103390939260.302139
6.466465, 2.374551, 2.087439, 103390939343.702560
6.477625, 2.365865, 2.098824, 103390939427.194565
6.500775, 2.360952, 2.083459, 103390939510.456680
6.507923, 2.345807, 2.082470, 103390939593.626831
6.515070, 2.337949, 2.083730, 103390939676.842651
6.528043, 2.330385, 2.080545, 103390939760.104736
6.538159, 2.311707, 2.074551, 103390939843.320526
6.547811, 2.301892, 2.075669, 103390939926.398605
6.560620, 2.297198, 2.089297, 103390940009.291702
6.561534, 2.301181, 2.081810, 103390940092.000946
6.560845, 2.318062, 2.092458, 103390940174.663971
6.551622, 2.329330, 2.086121, 103390940257.511353
6.543429, 2.344429, 2.089969, 103390940340.404892
6.548998, 2.356860, 2.079493, 103390940423.482819
6.537867, 2.363850, 2.086818, 103390940506.790817
6.520209, 2.362740, 2.090975, 103390940590.283249
6.513160, 2.358076, 2.083392, 103390940673.914047
6.507791, 2.365550, 2.091441, 103390940757.728775
6.499753, 2.367125, 2.094463, 103390940841.636093
6.494254, 2.373085, 2.083247, 103390940925.542755
6.493269, 2.371258, 2.083456, 103390941009.357758
6.492002, 2.375412, 2.085207, 103390941093.034668
6.493656, 2.372834, 2.086515, 103390941176.572800
6.492408, 2.369728, 2.082049, 103390941260.111389
6.496892, 2.367308, 2.078264, 103390941343.557831
6.494198, 2.372565, 2.084021, 103390941427.003616
6.497341, 2.372839, 2.090620, 103390941510.449860
6.482754, 2.365464, 2.090297, 103390941594.034058
6.480119, 2.367669, 2.090276, 103390941677.710892
6.479671, 2.359548, 2.079464, 103390941761.387802
6.485682, 2.355071, 2.073176, 103390941845.064285
6.488810, 2.354324, 2.084869, 103390941928.971390
6.503096, 2.346570, 2.090294, 103390942013.062607
6.519339, 2.343480, 2.093819, 103390942097.200165
6.538774, 2.325560, 2.094017, 103390942181.153336
6.543441, 2.313325, 2.087835, 103390942264.829865
6.551500, 2.305842, 2.090377, 103390942348.322372
6.562519, 2.299628, 2.089253, 103390942431.768478
6.568766, 2.294163, 2.080316, 103390942515.030136
6.568106, 2.298735, 2.079544, 103390942597.969788
6.588831, 2.307952, 2.091416, 103390942680.817184
6.606377, 2.326967, 2.093539, 103390942763.526321
6.628155, 2.340928, 2.091067, 103390942846.235428
6.648825, 2.360150, 2.085683, 103390942928.898636
6.674076, 2.378997, 2.092083, 103390943011.561340
6.691797, 2.392428, 2.089533, 103390943094.132065
6.713251, 2.405238, 2.091965, 103390943176.656906
6.737037, 2.415997, 2.089007, 103390943259.227554
6.753555, 2.430146, 2.093140, 103390943341.844025
6.771531, 2.445152, 2.087292, 103390943424.645157
6.794554, 2.460594, 2.088057, 103390943507.722946
6.818548, 2.481287, 2.089359, 103390943591.030594
6.831692, 2.496903, 2.091270, 103390943674.246414
6.842881, 2.509815, 2.096756, 103390943757.508301
6.839770, 2.513128, 2.096594, 103390943840.723999
6.833395, 2.521818, 2.092214, 103390943923.939789
6.819787, 2.537890, 2.098219, 103390944006.971344
6.807243, 2.547202, 2.102405, 103390944089.864456
6.806364, 2.558033, 2.097392, 103390944172.803635
6.798016, 2.571383, 2.097649, 103390944255.789032
6.787395, 2.596769, 2.085358, 103390944338.636398
6.788106, 2.614205, 2.087286, 103390944421.437317
6.799782, 2.625165, 2.087672, 103390944504.238449
6.818030, 2.632468, 2.085222, 103390944586.947525
6.847974, 2.643242, 2.086375, 103390944669.702484
6.871106, 2.646844, 2.084838, 103390944752.319122
6.898586, 2.656128, 2.082193, 103390944834.936142
6.920689, 2.660933, 2.086053, 103390944917.553009
6.942417, 2.664894, 2.091099, 103390945000.308151
6.966298, 2.670206, 2.089279, 103390945083.154922
6.986117, 2.672310, 2.090033, 103390945166.324692
7.009857, 2.669432, 2.091926, 103390945249.724762
7.023779, 2.669502, 2.094085, 103390945333.401077
7.036152, 2.673604, 2.087840, 103390945417.262283
7.037552, 2.670464, 2.093258, 103390945501.169403
7.037204, 2.669056, 2.090994, 103390945585.122116
7.041124, 2.671808, 2.089593, 103390945668.983109
7.046666, 2.671037, 2.090426, 103390945752.797516
7.051369, 2.682082, 2.091851, 103390945836.427979
7.061693, 2.690184, 2.086176, 103390945919.966248
7.069674, 2.696218, 2.085261, 103390946003.412170
7.079937, 2.700440, 2.090958, 103390946086.812576
7.091033, 2.706336, 2.088175, 103390946170.074066
7.098092, 2.713033, 2.083821, 103390946253.335815
7.108202, 2.715174, 2.083801, 103390946336.597916
7.118873, 2.724151, 2.089805, 103390946419.905563
7.123802, 2.726186, 2.091055, 103390946503.167526
7.135283, 2.733712, 2.089712, 103390946586.383301
7.145986, 2.749844, 2.084511, 103390946669.507004
7.156464, 2.771513, 2.084113, 103390946752.584427
7.173142, 2.798639, 2.077136, 103390946835.754181
7.192211, 2.837291, 2.081727, 103390946918.878021
7.208730, 2.871239, 2.070043, 103390947002.001205
7.234950, 2.919168, 2.062034, 103390947085.124893
7.258796, 2.967109, 2.066711, 103390947168.340790
7.295061, 3.015597, 2.070923, 103390947251.740631
7.324432, 3.067366, 2.080086, 103390947335.094437
7.360123, 3.114788, 2.082824, 103390947418.402527
7.395298, 3.158983, 2.081354, 103390947501.618118
7.433649, 3.200435, 2.083936, 103390947584.603439
7.474482, 3.243524, 2.077811, 103390947667.588913
7.504678, 3.290545, 2.068763, 103390947750.297867
7.536991, 3.324316, 2.071265, 103390947833.006546
7.575309, 3.356624, 2.077832, 103390947915.807877
7.621308, 3.385294, 2.082417, 103390947998.839462
7.679273, 3.423874, 2.090589, 103390948082.009201
7.719234, 3.473358, 2.089294, 103390948165.362717
7.753227, 3.534539, 2.082360, 103390948249.085327
7.787291, 3.597106, 2.074744, 103390948333.038193
7.809645, 3.668777, 2.067746, 103390948416.991226
7.833693, 3.741072, 2.066684, 103390948501.036652
7.867144, 3.821319, 2.077791, 103390948585.357956
7.916046, 3.901479, 2.079032, 103390948669.541428
7.932605, 3.983142, 2.077628, 103390948752.941528
7.960994, 4.043929, 2.089647, 103390948836.064651
7.995620, 4.099744, 2.086341, 103390948919.050186
8.021121, 4.167595, 2.084531, 103390949001.759232
8.057702, 4.216756, 2.066966, 103390949084.421661
8.079473, 4.261915, 2.076969, 103390949166.946487
8.111004, 4.301597, 2.090202, 103390949249.655426
8.155084, 4.363438, 2.092645, 103390949332.640594
8.185690, 4.430578, 2.092045, 103390949415.948425
8.213826, 4.506859, 2.081412, 103390949499.486588
8.244880, 4.582935, 2.077000, 103390949583.208969
8.261652, 4.664740, 2.074142, 103390949666.977768
8.280871, 4.760234, 2.064904, 103390949750.700317
8.297212, 4.858742, 2.059341, 103390949834.376617
8.317753, 4.964863, 2.061622, 103390949918.237457
8.331247, 5.068057, 2.068990, 103390950001.867874
8.336910, 5.142637, 2.084512, 103390950085.083359
8.358906, 5.231223, 2.087086, 103390950168.207016
8.370081, 5.321891, 2.091168, 103390950251.146103
8.378578, 5.412597, 2.092563, 103390950334.084991
8.380140, 5.503687, 2.089737, 103390950416.840149
8.383670, 5.582707, 2.105148, 103390950499.595078
8.402609, 5.669616, 2.129029, 103390950582.350403
8.416881, 5.754086, 2.163134, 103390950665.151276
8.429359, 5.817396, 2.200096, 103390950748.228912
8.442787, 5.878365, 2.228190, 103390950831.536682
8.445864, 5.939094, 2.240562, 103390950914.936386
8.444647, 6.005742, 2.245975, 103390950998.382660
8.438872, 6.069654, 2.249873, 103390951081.782745
8.433898, 6.125762, 2.263612, 103390951165.320923
8.440267, 6.184386, 2.277524, 103390951249.274017
8.441044, 6.240026, 2.293865, 103390951333.134552
8.427810, 6.299541, 2.306823, 103390951416.811020
8.433842, 6.366136, 2.296607, 103390951500.395355
8.432774, 6.435468, 2.299876, 103390951583.610641
8.442244, 6.495904, 2.311636, 103390951666.595642
8.440125, 6.549388, 2.325280, 103390951749.396561
8.449421, 6.607696, 2.353642, 103390951832.105453
8.457417, 6.674943, 2.385975, 103390951914.768036
8.463222, 6.740492, 2.416046, 103390951997.569031
8.471238, 6.807817, 2.447459, 103390952080.462097
8.477769, 6.875044, 2.460253, 103390952163.492996
8.479809, 6.934900, 2.469071, 103390952246.524216
8.483916, 6.991757, 2.461583, 103390952329.832214
8.490458, 7.050367, 2.470853, 103390952413.278320
8.485575, 7.094749, 2.476179, 103390952496.724213
8.472323, 7.137617, 2.491351, 103390952580.031876
8.459777, 7.192004, 2.529714, 103390952663.339157
8.456122, 7.239127, 2.566210, 103390952746.739044
8.448256, 7.271911, 2.611531, 103390952830.138580
8.451121, 7.294733, 2.637023, 103390952913.676651
8.456353, 7.326125, 2.648142, 103390952997.306747
8.465715, 7.363396, 2.648121, 103390953080.983200
8.487350, 7.405274, 2.654035, 103390953164.659180
8.504897, 7.446553, 2.667223, 103390953248.151077
8.525441, 7.487212, 2.704385, 103390953331.366608
8.549088, 7.522444, 2.752266, 103390953414.397568
8.566813, 7.569301, 2.793253, 103390953497.336319
8.570894, 7.615236, 2.824868, 103390953580.136917
8.575765, 7.665542, 2.844242, 103390953662.983978
8.571510, 7.719153, 2.838001, 103390953745.830658
8.565282, 7.780961, 2.832545, 103390953828.769699
8.557711, 7.843560, 2.841491, 103390953911.800644
8.541641, 7.901585, 2.872603, 103390953995.016037
8.541455, 7.950436, 2.915815, 103390954078.738297
8.533932, 7.982509, 2.962572, 103390954162.229874
8.524785, 8.013362, 2.997029, 103390954245.721573
8.542107, 8.044830, 3.008196, 103390954329.443848
8.546067, 8.083665, 3.009627, 103390954412.981506
8.549317, 8.133389, 3.000601, 103390954496.473206
8.553960, 8.190392, 3.004379, 103390954579.780563
8.568156, 8.251417, 3.049488, 103390954662.811737
8.579112, 8.306050, 3.096925, 103390954745.566284
8.596726, 8.351673, 3.137033, 103390954828.366730
8.608672, 8.397206, 3.171057, 103390954911.120743
8.612815, 8.439192, 3.187792, 103390954993.967392
8.617763, 8.479436, 3.190064, 103390955076.998764
8.607170, 8.526454, 3.192831, 103390955160.075912
8.605433, 8.576894, 3.210748, 103390955243.291229
8.602505, 8.639202, 3.232747, 103390955326.921021
8.606838, 8.714000, 3.281315, 103390955410.919678
8.590734, 8.770988, 3.322612, 103390955494.687546
8.591337, 8.814928, 3.362908, 103390955578.640366
8.601001, 8.862694, 3.377393, 103390955662.500946
8.599555, 8.911341, 3.392158, 103390955745.992615
8.603776, 8.961518, 3.392180, 103390955829.346069
8.609103, 9.020121, 3.412923, 103390955912.560867
8.605240, 9.066219, 3.456713, 103390955995.223145
8.621760, 9.112438, 3.505561, 103390956077.931915
8.637275, 9.156625, 3.543334, 103390956160.916626
8.646206, 9.201248, 3.557103, 103390956243.993210
8.649909, 9.257142, 3.562862, 103390956327.162460
8.654963, 9.314695, 3.569862, 103390956410.424042
8.658758, 9.361224, 3.596275, 103390956493.639359
8.662480, 9.408924, 3.635389, 103390956577.131317
8.661670, 9.461244, 3.671190, 103390956660.807266
8.654459, 9.512384, 3.714942, 103390956744.298904
8.658023, 9.551223, 3.749424, 103390956827.974854
8.669625, 9.588840, 3.755546, 103390956911.604874
8.666451, 9.629168, 3.760630, 103390956994.958267
8.673101, 9.679288, 3.768950, 103390957078.266403
8.687308, 9.739905, 3.788211, 103390957161.343567
8.683788, 9.791679, 3.838530, 103390957243.821350
8.690192, 9.839456, 3.876381, 103390957326.391449
8.707399, 9.887348, 3.914152, 103390957409.238510
8.714458, 9.926964, 3.926588, 103390957492.130951
8.720498, 9.969289, 3.928491, 103390957575.115952
8.726504, 10.024318, 3.933680, 103390957658.147110
8.720232, 10.085349, 3.945206, 103390957741.224182
8.722908, 10.141575, 3.978526, 103390957824.577911
8.726748, 10.199206, 4.019766, 103390957908.346054
8.722335, 10.247004, 4.074810, 103390957992.022018
8.723630, 10.284994, 4.112250, 103390958075.790543
8.734199, 10.321939, 4.129256, 103390958159.420197
8.737549, 10.358716, 4.130252, 103390958242.681442
8.746098, 10.411059, 4.140360, 103390958325.897125
8.757082, 10.474092, 4.155982, 103390958408.881821
8.762131, 10.523991, 4.200494, 103390958491.452652
8.768008, 10.569112, 4.245198, 103390958573.930634
8.782386, 10.620422, 4.279360, 103390958656.501099
8.786839, 10.659468, 4.302478, 103390958739.071289
8.786978, 10.708191, 4.309644, 103390958821.964279
8.789734, 10.762113, 4.318415, 103390958905.041595
8.789124, 10.815166, 4.332400, 103390958988.487427
8.794298, 10.869392, 4.359053, 103390959072.071304
8.794747, 10.930118, 4.396156, 103390959155.885895
8.788845, 10.990057, 4.435268, 103390959239.792023
8.780567, 11.033205, 4.480097, 103390959323.698639
8.790123, 11.072286, 4.496859, 103390959407.743607
8.793061, 11.103203, 4.517932, 103390959491.373383
8.787154, 11.145353, 4.521912, 103390959574.727173
8.787459, 11.195683, 4.532898, 103390959657.896317
8.793509, 11.245934, 4.566668, 103390959740.835281
8.791154, 11.292872, 4.601238, 103390959823.451691
8.797406, 11.339382, 4.643256, 103390959906.114426
8.806128, 11.375190, 4.672102, 103390959988.915024
8.807269, 11.415204, 4.685771, 103390960071.761520
8.807322, 11.459795, 4.694617, 103390960154.608459
8.808882, 11.512456, 4.694763, 103390960237.593353
8.808681, 11.572824, 4.709463, 103390960320.808838
8.802563, 11.624690, 4.748116, 103390960404.254532
8.799889, 11.678057, 4.786504, 103390960488.114944
8.786167, 11.725122, 4.824230, 103390960571.698578
8.781796, 11.757039, 4.865371, 103390960655.420975
8.792497, 11.790427, 4.875534, 103390960739.189423
8.781111, 11.820632, 4.881533, 103390960822.588959
8.779757, 11.858798, 4.884838, 103390960906.034897
8.777539, 11.910871, 4.904738, 103390960989.250061
8.777602, 11.963801, 4.929856, 103390961072.142975
8.776347, 12.012170, 4.976159, 103390961154.712936
8.780296, 12.052654, 5.015717, 103390961237.191025
8.779029, 12.087144, 5.040927, 103390961319.715302
8.779287, 12.111312, 5.038526, 103390961402.562042
8.776817, 12.148528, 5.056284, 103390961485.685501
8.773105, 12.187363, 5.050470, 103390961568.993088
8.767961, 12.244959, 5.057966, 103390961652.439087
8.747249, 12.311775, 5.072587, 103390961735.976883
8.727810, 12.386439, 5.105365, 103390961819.883636
8.716524, 12.454366, 5.141083, 103390961903.928589
8.691332, 12.506071, 5.179371, 103390961987.742813
8.678969, 12.538424, 5.215755, 103390962071.511108
8.691098, 12.580893, 5.241289, 103390962155.279282
8.682015, 12.624403, 5.251272, 103390962238.632813
8.670952, 12.675836, 5.254796, 103390962321.802277
8.666331, 12.738549, 5.268976, 103390962404.740967
8.646891, 12.791152, 5.309222, 103390962487.034805
8.634826, 12.830380, 5.347283, 103390962569.282684
8.631444, 12.864850, 5.386632, 103390962651.576813
8.609530, 12.896424, 5.414867, 103390962733.962540
8.580489, 12.937234, 5.416882, 103390962816.671417
8.547185, 12.981057, 5.406991, 103390962899.610214
8.507763, 13.033147, 5.400513, 103390962982.779495
8.462440, 13.094250, 5.395993, 103390963066.363373
8.416184, 13.146983, 5.413374, 103390963150.362167
8.378798, 13.198849, 5.426319, 103390963234.453049
8.333491, 13.246356, 5.432887, 103390963318.313370
8.289788, 13.312095, 5.424212, 103390963402.220062
8.241672, 13.369910, 5.419295, 103390963485.896194
8.181432, 13.429702, 5.418599, 103390963569.111649
8.138868, 13.488604, 5.423783, 103390963652.050735
8.101053, 13.543055, 5.425192, 103390963734.943375
8.053095, 13.598526, 5.430922, 103390963817.882324
7.992198, 13.665941, 5.435604, 103390963900.821426
7.928234, 13.720165, 5.432026, 103390963983.852692
7.865196, 13.775938, 5.424968, 103390964066.975784
7.801446, 13.827503, 5.424135, 103390964150.283478
7.731441, 13.882694, 5.428085, 103390964233.821213
7.674173, 13.937709, 5.429639, 103390964317.820038
7.600661, 13.990106, 5.437046, 103390964401.588165
7.521989, 14.033695, 5.441373, 103390964484.988129
7.462166, 14.090235, 5.439021, 103390964568.433640
7.393660, 14.130627, 5.438238, 103390964651.465118
7.329639, 14.171544, 5.428849, 103390964734.219925
7.277852, 14.234198, 5.417475, 103390964817.112839
7.203239, 14.285898, 5.434650, 103390964900.005661
7.128169, 14.336631, 5.436640, 103390964982.990280
7.045141, 14.366846, 5.441025, 103390965065.929413
6.944616, 14.410712, 5.427062, 103390965149.006577
6.847290, 14.446822, 5.430584, 103390965232.221664
6.764720, 14.472965, 5.444175, 103390965315.482895
6.676945, 14.499476, 5.464987, 103390965398.928879
6.618048, 14.528934, 5.499763, 103390965482.743088
6.532244, 14.549109, 5.549451, 103390965566.234970
6.477310, 14.565061, 5.587624, 103390965649.634689
6.409935, 14.585776, 5.605479, 103390965733.218781
6.350820, 14.595813, 5.624230, 103390965816.710800
6.292399, 14.602154, 5.638149, 103390965900.202591
6.227334, 14.606785, 5.670349, 103390965983.326126
6.183926, 14.607983, 5.712941, 103390966066.126648
6.125569, 14.630028, 5.748976, 103390966149.111801
6.075049, 14.643947, 5.766143, 103390966232.189117
6.033311, 14.641778, 5.776094, 103390966315.450150
5.978064, 14.648923, 5.786740, 103390966398.757751
5.941710, 14.654932, 5.796620, 103390966481.973328
5.890776, 14.647975, 5.829355, 103390966565.464874
5.843500, 14.663357, 5.874363, 103390966649.417465
5.788682, 14.655617, 5.904722, 103390966733.093445
5.733526, 14.654741, 5.924223, 103390966816.769867
5.683686, 14.676509, 5.940299, 103390966900.492050
5.635789, 14.683444, 5.932855, 103390966983.707153
5.572996, 14.685909, 5.945257, 103390967066.738281
5.506399, 14.696251, 5.969125, 103390967149.585251
5.443530, 14.692389, 6.004924, 103390967231.924774
5.402324, 14.694804, 6.045303, 103390967314.310638
5.353634, 14.711219, 6.087833, 103390967396.927322
5.311865, 14.710325, 6.117465, 103390967479.635880
5.269303, 14.707943, 6.121716, 103390967562.712784
5.221117, 14.707456, 6.132355, 103390967646.020676
5.163709, 14.695143, 6.158293, 103390967729.697113
5.103671, 14.700942, 6.195652, 103390967814.110367
